D11,D21,D12,D22
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
5.7950123521447085e-05,5.1667906140169875e-06,6.279661741434773e-06,7.00839131801633e-05
