R,a,n,d,0
6.15189496873847e-05,5.079875099172674e-07
5.079875099172674e-07,5.458219016463117e-05
R,a,n,d,1
1.245224728509773e-07,3.773877025626695e-07
3.773877025626695e-07,8.499620896467597e-08
9.090678198056782e-07,3.5094532417167837e-07
3.5094532417167837e-07,9.082112931861316e-07
R,a,n,d,2
4.853202523187901e-07,2.845820704993232e-07
2.845820704993232e-07,7.390561716704791e-07
4.6708295453720856e-07,7.291276127593851e-07
7.291276127593851e-07,8.26682951026408e-07
